ID;URL;Titre;Chapeau;Description;Mots clés;Date de début;Heure de début;Date de fin;Heure de Fin;Nom du lieu;Adresse du lieu;Code Postal;Ville;Coordonnées géographiques;Accès PMR;Accès mal voyant;Accès mal entendant;Transport;Nom de contact;Téléphone de contact;Email de contact;Url de contact;Type d’accès;Détail du prix;URL de l’image de couverture
66786;https://www.paris.fr/evenements/le-centre-pompidou-met-a-l-honneur-l-artiste-franco-espagnole-roberta-gonzalez-66786;Le Centre Pompidou met à l'honneur l'artiste franco-espagnole Roberta González;Pour la première fois, le Centre Pompidou met à l’honneur Roberta González (1909-1976), artiste franco-espagnole active sur la scène parisienne et internationale à partir des années 1930. Du 2 avril 2024 au 9 mars 2025, un ensemble de peintures, dessins, livres illustrés, objets d’art et pièces d’archives est présenté à l’occasion d’une donation de tableaux et dessins de la succession de l’artiste, qui viennent enrichir les œuvres acquises par le musée du vivant de l’artiste.;D’une grande variété stylistique et technique, les œuvres de Roberta González portent principalement sur la figure féminine, déclinée en plusieurs identités et formes. Qu’elles soient naturalistes ou avant-gardistes, peintes ou dessinées, angoissées ou stoïques, ses paysannes, maternités et portraits portent tous un regard saisissant, teinté de nostalgie, et quelque peu méfiant, mais déterminé, qui scrute, qui questionne, qui analyse, à la manière de l’artiste elle-même, qui chemine vers sa voie artistique personnelle dans un monde chamboulé.Les œuvres présentées au Centre Pompidou, datant principalement de la période 1935-1954, ouvrent une fenêtre sur une époque charnière dans la vie et l’œuvre de l’artiste. Ses femmes en postures tordues, dont la détresse s’accentue par leurs volumes éclatés et leurs formes distordues, sont sa réponse à la guerre qui frappe d’abord l’Espagne, pays d’origine de la famille González, avant de devenir une conflagration mondiale qui atteindra plus directement Roberta González et sa famille en France.Après la guerre, Roberta González cherche sa place sur la scène parisienne où tout avait changé. Pour aller vers l’avant, elle délaisse progressivement l’ombre de la guerre pour s’affirmer à la lumière de son style purement personnel. Celui-ci sera basé sur la dualité et les contrastes — ombre/lumière, figuration/abstraction, statisme/mouvement, obscurité/couleur, nostalgie/joie —, à l’image de l’artiste elle-même, à la fois française et espagnole, créatrice et promotrice de l’œuvre de son père, de caractère espiègle et joueur, mais aussi hautement sensible. La sélection d’œuvres de Roberta González sera enrichie de documents d’archives personnelles de l’artiste, des photographies, des dessins d’enfance et un extrait de son journal personnel inédit.Pour mieux représenter la communauté créatrice à laquelle Roberta González faisait partie lors de la réalisation des œuvres exposées, elles sont présentées en dialogue avec une poignée d’œuvres de Julio González, son père, et du peintre abstrait allemand Hans Hartung, son premier mari. La longévité exceptionnelle de l’exposition qui durera un an donnera cours à un roulement des œuvres, permettant au public d’en optimiser leur découverte.;Expo, Peinture;03/04/2024;14:00;09/03/2025;21:00;Centre Pompidou;Place Georges Pompidou;75004;Paris;48.8606190862416, 2.35130895504322;1;;;"Métro -> 11 : Rambuteau (Paris) (143m)
Bus -> 38 : Les Halles - Centre Georges Pompidou (Paris) (121m)
Vélib -> Place Edmond Michelet (105.82m)
Calculez votre itinéraire sur GéoVélo"; ;;;;non;;https://cdn.paris.fr/qfapv4/2024/08/08/huge-0d7232dfa4fd1596026a0db7bcde0815.jpg
41112;https://www.paris.fr/evenements/derniers-coups-de-ciseaux-41112;« Dernier coup de ciseaux » au Théâtre des Mathurins;Un salon de coiffure, un meurtre, un flic, des suspects, à vous de jouer ! La première pièce dont le public est le héros.;"Une comédie policière interactive !Un meurtre est commis chaque soir et c’est au public de résoudre l’enquête. Trente ans de succès et des records de longévité aux Etats-Unis !Depuis douze ans au Théâtre des Mathurins avec plus de trois mille représentations et plus d’un million de spectateurs dans le monde !""Derniers coups de ciseaux"" a été élu Molière de la Meilleure Comédie en 2014";Théâtre;20/08/2024;02:00;29/06/2025;01:59;Théâtre des Mathurins;36 rue des Mathurins;75008;Paris;48.8732739998369, 2.32563598189765;;;;; ;;;;conseillée;;https://cdn.paris.fr/qfapv4/2023/08/02/huge-dc8d1a5224e4e54b99295995e2aab844.png
67023;https://www.paris.fr/evenements/une-cooperative-artistique-inuite-dans-le-grand-nord-canadien-kinngait-nunavut-la-collection-claude-baud-et-michel-jacot-67023;Une coopérative artistique inuite dans le Grand Nord canadien Kinngait, Nunavut;Un nouvel ensemble de gravures et sculptures de la prestigieuse collection Claude Baud et Michel Jacot à découvrir !;Pour célébrer le 25e anniversaire de la fondation du territoire du Nunavut, au Canada, et le 60e anniversaire de la West Baffin Eskimo Cooperative de Kinngait (Cap Dorset, Ile de Baffin), le Centre culturel canadien re-déploie son exposition historique, Fantastique Kenojuak Ashevak, en y ajoutant un nouvel ensemble de gravures et sculptures de la prestigieuse collection Claude Baud et Michel Jacot, illustrant la richesse d’une coopérative unique au monde.Commissaire : Catherine Bédard--To celebrate the 25th anniversary of the founding of the territory of Nunavut, in Canada, and the 60th anniversary of the West Baffin Eskimo Cooperative in Kinngait (Cape Dorset, Baffin Island), the Canadian Cultural Centre is redeploying its historic exhibition, Fantastic Kenojuak Ashevak, by adding a new set of prints and sculptures from the prestigious Claude Baud and Michel Jacot collection, illustrating the richness of a cooperative that is unique in the world.Curator : Catherine BédardVernissage le 1er octobre de 18h00 à 21h00 (dernière entrée 20h30)Du 2 octobre 2024 au 17 janvier 2025;Art contemporain;01/10/2024;21:00;17/01/2025;19:00;Centre culturel canadien à Paris;130 rue du Faubourg Saint-Honoré;75008;Paris;48.8723990129644, 2.3124140325526;0;;;"Métro -> 9 : Saint-Philippe du Roule (Paris) (119m)
Bus -> 2832528093 : Saint-Philippe du Roule (Paris) (119m)
Vélib -> Commandant Rivière (200.47m)
Calculez votre itinéraire sur GéoVélo"; ;+33144432190;;https://canada-culture.org/event/une-cooperative-artistique-inuite-dans-le-grand-nord-canadien-kinngait-nunavut-la-collection-claude-baud-et-michel-jacot/;non;;https://cdn.paris.fr/qfapv4/2024/08/20/huge-eb758aa6e40d1810bebce83b0f3ad9fa.jpg
67337;https://www.paris.fr/evenements/voyage-d-un-assassin-67337;Voyage d'un assassin au Théâtre Darius Milhaud;Une épopée aux allures de western d’un tueur à gage en quête de rédemption…;"Pleine
nuit d’orage. Un homme s’introduit par effraction dans une maison abandonnée.
Il se tapit dans l’ombre et attend. Cet homme, c’est Emile, assassin de métier
recherché pour les crimes qu’il a commis.Au petit matin, un train rugit tout
près. Il s’y introduit clandestinement. Il va vers son village natal dans
l’espoir d’y retrouver sa soeur qu’il n’a pas vu depuis des années. Traversant
les paysages montagneux des Pyrénées, il voyage en lui-même… À l’arrivée, il
espère trouver la rédemption…Emile,
incarné par Paul Duvaux, seul en scène, se débat avec sa conscience et ses
souvenirs tout au long de son périple initiatique. Une épopée aux allures de
western, une fuite à corps perdu, l’aventure rocambolesque d‘un criminel en
cavale où l’humour transpire sous la tension et la solitude…---------------------------------------------------------------------------------------------------------------------Autrice : Roxane BrunetMise en scène : Camille Helbéïe, Roxane BrunetAvec : Paul DuvauxLumière : Lumière Camille Helbéïe.Décors : Pierre BrunetGenre
: Seul-en-scène / Western - ThrillerTout
public (dès 13 ans)Durée :
1h10";Théâtre;11/09/2024;22:15;27/11/2024;21:25;Théâtre Darius Milhaud;80, allée Darius Milhaud;75019;Paris;48.8859380077971, 2.39320803545098;;;;; ;+33142019226;;;conseillée;De 12 à 18 euros.;https://cdn.paris.fr/qfapv4/2024/08/23/huge-874459dd4c1c48e8c4b411bd6a414929.jpg
59006;https://www.paris.fr/evenements/drame-bourgeois-59006;Drame Bourgeois;C’est Louis et L. C’est elle et lui. C’est deux solitudes. C’est deux itinéraires, deux errances entre deux saisons, entre deux villes, entre deux histoires. Ils pourraient s’aimer, mais ils ne se connaissent pas. Et déjà ils se séparent.;"C’est juste l’histoire d’une femme et d’un homme (elle est autrice, lui musicien ; elle rentre à Londres, lui rentre de soirée) qui traversent le pont-neuf à Paris un matin, qui ne se croisent que du regard, qui reprennent leurs routes et qui fictionnent toute leur histoire d’amour, du premier verre au tout dernier. Leurs deux versions s’affrontent, se complètent, se tissent et s’emmêlent au fil de leurs deux errances dans la ville.";Théâtre;02/12/2024;20:30;14/12/2024;20:15;Théâtre Ouvert;159 Avenue Gambetta;75020;Paris;48.870474989, 2.40313899815229;1;1;1;; ;+33142555550;resa@theatreouvert.com;https://www.theatre-ouvert.com/spectacle/drame-bourgeois-2/;conseillée;De 8 à 20€;https://cdn.paris.fr/qfapv4/2024/08/27/huge-4efa1ada085b5e7369e044669737349d.jpg
66862;https://www.paris.fr/evenements/lesage-100-ans-de-mode-et-de-decoration-a-admirer-a-la-galerie-du-19m-66862;« Lesage, 100 ans de mode et de décoration » à admirer à la Galerie du 19M;À partir du 26 septembre, la Galerie du 19M célèbre un siècle de savoir-faire exceptionnel en broderie et tissage. Fondée en 1924, cette Maison emblématique a joué un rôle crucial dans l’histoire de la haute couture et de la mode et collabore aussi avec les clients les plus prestigieux de la décoration. L’exposition « Lesage, 100 ans de mode et de décoration » célèbre les cent ans d'excellence et d'innovation de la Maison de broderie et de textile résidente du 19M. Elle met également en avant de nouvelles formes artistiques nées du dialogue entre la broderie et d'autres médiums, ainsi que des collaborations inédites avec des créateurs contemporains (mode, arts plastiques, décoration, design d’espace et d’objet…).;Le parcours d’exposition est ponctué de pièces d’artisanat d’art réalisées pour des Maisons de haute couture, exceptionnelles autant par leur virtuosité technique que par l’allure des silhouettes. Un panorama didactique et détaillé des techniques, gestes et étapes de création sera présenté pour plonger les visiteurs dans l'héritage et l'excellence de cette Maison. Pour révéler et mettre en scène l’essence même de Lesage, une scénographie et des installations immersives (capsules sonores, vidéo…) permettront également de découvrir l’histoire de la Maison et les coulisses des ateliers, rendant hommage au travail de ses artisans, à la puissance du dialogue créatif entre les clients les plus prestigieux et la Maison d’art, et à la richesse de son patrimoine.À l’occasion des 100 ans de la Maison Lesage, le directeur artistique Hubert Barrère et l’atelier de broderie ont collaboré avec l’artiste Aristide Barraud pour concevoir Murmuration : un dessin monumental représentant une nuée de centaines d’étourneaux brodés. Observables chaque hiver, les migrations conduisent les étourneaux d’un continent à l’autre, créant dans le ciel des ballets parfaitement synchronisés. Composée de centaines d’étourneaux brodés par des milliers de mains sur plusieurs pans d’organza, Murmuration interroge ce phénomène naturel de symbiose collective exceptionnelle à l’aune d’une société de plus en plus morcelée. Tout au long de l’année 2024, les différents pans de broderie qui forment Murmuration voyagent d’une ville à l’autre. À chaque étape, des ateliers gratuits d’initiation à la broderie sont proposés à tous les publics : chaque point de broderie devient la note supplémentaire d’une symphonie collective et contemplative, guidée par les mains expertes des artisans d’art. Après une série d'escales à Marseille, à Paris, à Dakar et enfin à Venise, Murmuration sera de retour à la Galerie du 19M Paris/Aubervilliers pendant l'exposition « Lesage, 100 ans de mode et de décoration ».Résolument tournée vers les scènes créatives émergentes, la programmation vivante de la Galerie du 19M poursuit son travail de défrichage. En parallèle, l’initiation par le geste reste au cœur du projet de la Galerie, célébrant la transmission et le partage, avec une attention particulière portée aux plus jeunes. En écho à cette exposition, plusieurs activations participatives et performatives, reflétant toutes les dimensions créatives des ateliers Lesage seront proposées à tous les publics. Les visiteurs auront l'opportunité de découvrir et d'apprendre les techniques de broderie et de tissage au cours d'ateliers pratiques, incarnant la tradition de transmission chère à la Maison Lesage.À l'occasion de cet anniversaire, le19M organise une riche série d'événements de Marseille à Venise, de Toulon à Dakar. Tout au long de l'année 2024, ils mettent en lumière le talent et la créativité des artisans brodeurs, dessinateurs et créateurs textiles de la Maison Lesage – de la France à l’Inde, de la mode à la décoration. Autant d’évènements qui racontent le siècle passé et dessinent celui à venir.;Atelier, Expo;27/09/2024;12:00;05/01/2025;20:00;La Galerie du 19M;2, Place Skanderbeg;75019;Paris;48.9013260085607, 2.37174600473222;;;;"Métro -> E : Rosa Parks (Paris) (539m)
Bus -> 3545239 : Parc du Millénaire (Paris) (Aubervilliers) (80m)
Vélib -> Madeleine Vionnet (216.66m)
Calculez votre itinéraire sur GéoVélo"; ;;;;obligatoire;;https://cdn.paris.fr/qfapv4/2024/08/12/huge-af390046438abfedaaae9a35201fef42.jpg
66748;https://www.paris.fr/evenements/polluons-dans-les-bois-pendant-que-le-loup-n-y-est-pas-66748;Polluons dans les bois… pendant que le loup n'y est pas !;"Le printemps est là ! 

Mais voilà… L'eau de la rivière est polluée et tous les animaux de la forêt risquent d'être contaminés.";Pour sauver Mère Nature, Compère Loup a monté une équipe de choc : un chaperon vert, une mamie aventurière, un goupil stratège, sept chevreaux et sept nains ! Main dans la patte, ils vont tout mettre en œuvre pour sauver Mère Nature.L’amitié et l’entraide de nos compagnons suffiront-ils à enrayer le cercle infernal de la pollution ?Ce spectacle de marionnettes et chansons, interprété par une comédienne et un comédien, évoque avec humour le respect de la nature.(Spectacle créé et proposé par La Brigade d'Agitateurs De la Jeunesse et destiné aux enfants à partir de 5 ans);Enfants, Spectacle musical;16/11/2024;16:00;16/11/2024;16:45;Bibliothèque Charlotte Delbo;2 passage des Petits Pères;75002;Paris;48.8665080018651, 2.34043398049681;;;;; ;+33153297430;bibliotheque.charlotte-delbo@paris.fr;https://www.paris.fr/equipements/bibliotheque-charlotte-delbo-1664;obligatoire;Réservation obligatoire auprès des bibliothécaires, par téléphone ou par courriel (places limitées).;https://cdn.paris.fr/qfapv4/2024/08/07/huge-c6831538682b9688401772b6fb7544ee.png
44695;https://www.paris.fr/evenements/paris-sport-familles-badminton-motricite-au-gymnase-alice-milliat-44695;Paris sport familles : badminton/motricité au gymnase Alice Milliat;Une offre qui permet aux parents et à leurs enfants âgés de 3 à 7 ans de pratiquer diverses activités gratuitement, les samedis et dimanches, sans nécessité de réservation préalable. Cette offre exclusive est réservée aux familles parisiennes.;"Chaque dimanche, la Ville de Paris vous invite à profiter d'un créneau d'activités badminton/motricité au gymnase Alice Milliat, tout au long de l'année.
  Horaire du créneau :
  de 10h00 à 12h00

Tout savoir sur les dispositifs sportifs de la ville de Paris";Enfants, Sport;30/09/2024;02:00;05/07/2025;01:59;Gymnase Alice Milliat;11 ter rue d'Alésia;75014;Paris;48.8271610014267, 2.33626398366701;;;;; ;;;;non;;https://cdn.paris.fr/qfapv4/2023/10/20/huge-3fae75b1f80fbb3f1bf15022a6148023.jpg
44698;https://www.paris.fr/evenements/paris-sport-familles-badminton-basket-et-motricite-au-centre-sportif-lenglen-44698;Paris sport familles : badminton et basket au centre sportif Lenglen;Une offre qui permet aux parents et à leurs enfants âgés de 3 à 7 ans de pratiquer diverses activités gratuitement, les samedis et dimanches, sans nécessité de réservation préalable. Cette offre exclusive est réservée aux familles parisiennes.;"Chaque samedi, la Ville de Paris vous invite à profiter d'un créneau de badminton et basket au centre sportif Lenglen, tout au long de l'année. Ce créneau peut accueillir jusqu'à 30 enfants.
  Horaire du créneau :
  de 14h00 à 17h00

Tout savoir sur les dispositifs sportifs de la ville de Paris";Enfants, Sport;30/09/2024;02:00;05/07/2025;01:59;Centre sportif Suzanne Lenglen;2, rue Louis Armand;75015;Paris;48.8330709975367, 2.27657603205952;;;;; ;;;;non;;https://cdn.paris.fr/qfapv4/2023/10/20/huge-cd26a28217e124ea848b59e036ec86b4.jpg
63240;https://www.paris.fr/evenements/le-surrealisme-l-exposition-du-centenaire-au-centre-pompidou-63240;Que vaut vraiment « Le surréalisme - L'exposition du centenaire » au Centre Pompidou ?;Retraçant plus de quarante années d'une exceptionnelle effervescence créative, de 1924 à 1969, « Le surréalisme. L'exposition du centenaire » célèbre l'anniversaire du mouvement, né en 1924 avec la publication du Manifeste fondateur d'André Breton.;De quoi ça parle ?Conçue à la façon d’un labyrinthe, l’exposition rayonne autour d’un « tambour » central abritant le manuscrit original du Manifeste, prêt exceptionnel de la Bibliothèque nationale de France. Une projection multimédia accompagne la découverte de ce document unique, éclairant sa genèse et son sens. À la fois chronologique et thématique, le parcours de l'exposition est rythmé par 14 chapitres évoquant les figures littéraires ayant inspiré le mouvement (Lautréamont, Lewis Carroll, Sade…) et les principes poétiques qui structurent son imaginaire (l'artiste-médium, le rêve, la pierre philosophale, la forêt…).Fidèle au principe de pluridisciplinarité qui caractérise les expositions du Centre Pompidou, « Le surréalisme. L'exposition du centenaire », associe peintures, dessins, films, photographies et documents littéraires. L’exposition présente les œuvres emblématiques du mouvement, issues des principales collections publiques et privées internationales : Le Grand Masturbateur de Salvador Dalí (Musée Reina Sofía), Les Valeurs personnelles de René Magritte (Musée d'art moderne de San Francisco), Le Cerveau de l’enfant (Moderna Museet de Stockholm) et le Chant d’amour (MoMA de New York) de Giorgio de Chirico, La Grande Forêt de Max Ernst (Musée de Bâle), Chien aboyant à la lune de Joan Miró (Philadelphia Museum of Art), etc.L’avis de la rédactionC’est un vent de fraîcheur qui déferle sur le Centre Pompidou (Paris Centre) ! Vingt-deux ans après sa dernière rétrospective consacrée au surréalisme, c’est avec une approche beaucoup plus inclusive que le lieu dépoussière le sujet. Longtemps associé à une poignée d’hommes européens, le mouvement artistique et intellectuel mené par André Breton s’ouvre cette fois aux artistes femmes (Dora Maar, Leonora Carrington, Dorothea Tanning), à ceux venus du monde entier (Rufino Tamayo, Tatsuo Ideka), mais aussi à des noms moins connus. Un regard novateur qui permet de se défaire du prisme masculin, de réhabiliter les grand(e)s oublié(e)s de l’art mais aussi d’ausculter l’immensité du surréalisme avec davantage de justesse.Un voyage au pays des rêves, des mères et des territoires mystérieux du cosmos…Car ce qui est certain, c’est que pendant quarante ans, les artistes surréalistes se sont appliqués à bousculer les codes, à repousser les limites de la création, à balader leurs inspirations vers des horizons jusqu’alors inexplorés et à pluraliser les supports et les techniques d’expression d’une manière tout à fait inédite. Une production prolifique que le centre culturel nous invite à (re)découvrir sous la forme d’un grand labyrinthe, fragmenté en quatorze chapitres.On voyage ainsi dans le pays des rêves, le royaume des mères, les profondeurs de la forêt ou encore les territoires mystérieux du cosmos. Une aventure magique au cours de laquelle vous risquez de croiser quelques monstres, des personnages mythologiques, des hommes en proie aux métamorphoses et des corps désarticulés. Vous voilà prévenus !Et à l’image d’une Alice au pays des merveilles chère aux surréalistes, c’est finalement avec malice que l’on s’amuse à perdre volontairement notre chemin…;Art contemporain, Expo;04/09/2024;02:00;14/01/2025;00:59;Centre Pompidou;Place Georges Pompidou;75004;Paris;48.8606190862416, 2.35130895504322;1;1;1;; ;;;;obligatoire;;https://cdn.paris.fr/qfapv4/2024/07/12/huge-535d886978a3376e0c5b1a25588fe9dd.jpg
